row,column,mean,p_value,source_size_proxy,source_status,pixel_x,pixel_y,visible_radius_px,visible_color,visible_mark,visible_marker,pixel_match_distance,confidence,visible_geometry_status,value_status
Treg_C3_MKI67.DC_C3_LAMP3,CTLA4_CD80,0.869,0,1.5,official_source_mapped,448.430,59.986,12.679,#f4d5c4,circle,true,0.737,0.933,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CTLA4_CD86,1.251,0,1.5,official_source_mapped,477.113,59.975,12.866,#c85647,circle,true,0.632,0.942,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,LGALS9_HAVCR2,0.456,0,1.5,official_source_mapped,505.702,60.024,12.741,#71aac9,circle,true,0.529,0.952,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,PDCD1_CD274,0.393,0,1.5,official_source_mapped,534.189,60.023,12.779,#5898bf,circle,true,0.465,0.958,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,PDCD1_PDCD1LG2,0.346,0,1.5,official_source_mapped,562.903,59.963,12.791,#468bb7,circle,true,0.429,0.961,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,TNF_FAS,0.383,0,1.5,official_source_mapped,591.380,60.049,12.741,#5395bd,circle,true,0.687,0.937,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CD27_CD70,0.73,0,1.5,official_source_mapped,620.099,59.904,11.915,#d6dfe5,circle,true,0.668,0.939,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CD28_CD80,0.67,0,1.5,official_source_mapped,648.726,59.970,12.578,#c2dae8,circle,true,0.857,0.922,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CD28_CD86,1.053,0,1.5,official_source_mapped,677.217,59.986,12.816,#ea9f81,circle,true,1.152,0.895,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CD40_TNFSF13B,,,,not_supplied_for_pair,705.854,59.854,3.613,#5797be,dot,true,1.276,0.883,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,CD55_ADGRE5,,,,not_supplied_for_pair,734.244,60.000,3.613,#2e6da7,dot,true,1.717,0.843,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,CD6_ALCAM,0.549,0,1.5,official_source_mapped,762.976,59.972,12.666,#97c3d8,circle,true,1.783,0.837,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CSF1_SIRPA,0.28,0,1.5,official_source_mapped,791.500,60.046,12.866,#357aae,circle,true,2.076,0.810,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,TNF_ICOS,,,,not_supplied_for_pair,820.146,59.854,3.613,#3c81b2,dot,true,2.200,0.799,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,TNFSF9_TNFRSF9,0.268,0,1.5,official_source_mapped,848.783,59.986,12.816,#3577ac,circle,true,2.390,0.782,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CCL22_CCR4,,,,not_supplied_for_pair,877.333,60.000,3.656,#18518c,dot,true,2.645,0.758,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,CCR4_CCL17,0.454,0,1.5,official_source_mapped,905.932,59.967,12.754,#71a9c9,circle,true,2.847,0.740,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CCR6_CCL20,,,,not_supplied_for_pair,934.595,59.838,3.432,#387db1,dot,true,2.976,0.728,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,CCR7_CCL19,0.893,0,1.5,official_source_mapped,963.034,60.010,12.679,#f6d1bd,circle,true,3.362,0.693,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CXCL10_CXCR3,,,,not_supplied_for_pair,991.447,59.921,3.478,#2967a4,dot,true,3.743,0.658,raster_detected_marker,visible_geometry_extracted
Treg_C3_MKI67.DC_C3_LAMP3,CXCR3_CCL19,1.206,0,1.5,official_source_mapped,1020.226,59.969,12.828,#d06753,circle,true,3.776,0.655,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CXCR3_CXCL9,0.844,0,1.5,official_source_mapped,1048.889,60.026,12.565,#f1dacc,circle,true,3.927,0.641,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CXCR6_CXCL16,0.685,0,1.5,official_source_mapped,1077.403,59.965,12.476,#c7dce7,circle,true,4.213,0.615,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,ADORA2A_ENTPD1,,,,not_supplied_for_pair,362.884,95.884,3.700,#2765a2,dot,true,1.481,0.865,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,BTLA_TNFRSF14,,,,not_supplied_for_pair,391.190,95.929,3.656,#468bb7,dot,true,0.979,0.911,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CD80_CD274,,,,not_supplied_for_pair,419.925,95.800,3.568,#367baf,dot,true,0.916,0.916,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CTLA4_CD80,0.984,0,1.5,official_source_mapped,448.430,95.800,12.878,#f1b69a,circle,true,0.618,0.944,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CTLA4_CD86,1.367,0,1.5,official_source_mapped,477.164,95.733,12.915,#b02c32,circle,true,0.568,0.948,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,LGALS9_HAVCR2,0.361,0,1.5,official_source_mapped,505.743,95.752,12.828,#4a8fba,circle,true,0.353,0.968,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,PDCD1_CD274,,,,not_supplied_for_pair,534.279,95.930,3.700,#4288b5,dot,true,0.030,0.997,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,PDCD1_PDCD1LG2,,,,not_supplied_for_pair,562.810,95.929,3.656,#367db0,dot,true,0.248,0.977,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,TNF_FAS,0.357,0,1.5,official_source_mapped,591.384,95.765,12.803,#4b8eb9,circle,true,0.511,0.953,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CD27_CD70,0.844,0,1.5,official_source_mapped,619.976,95.875,12.565,#f1dacc,circle,true,0.700,0.936,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CD28_CD80,0.586,0,1.5,official_source_mapped,648.765,95.901,12.691,#a4cbdc,circle,true,0.717,0.935,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CD28_CD86,0.969,0,1.5,official_source_mapped,677.198,95.769,12.816,#f3bca0,circle,true,1.104,0.899,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CD40_TNFSF13B,,,,not_supplied_for_pair,705.929,95.810,3.656,#5c9ac0,dot,true,1.175,0.893,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CD55_ADGRE5,,,,not_supplied_for_pair,734.190,95.929,3.656,#3577ac,dot,true,1.713,0.843,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CD6_ALCAM,0.503,0,1.5,official_source_mapped,762.945,95.812,12.754,#85b8d1,circle,true,1.771,0.838,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CSF1_SIRPA,,,,not_supplied_for_pair,791.810,95.929,3.656,#3478ae,dot,true,1.710,0.844,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,TNF_ICOS,,,,not_supplied_for_pair,820.048,95.833,3.656,#367bae,dot,true,2.282,0.792,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,TNFSF9_TNFRSF9,,,,not_supplied_for_pair,848.756,96.000,3.613,#3173ab,dot,true,2.379,0.783,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CCL22_CCR4,,,,not_supplied_for_pair,877.410,96.000,3.523,#103565,dot,true,2.533,0.769,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CCR4_CCL17,,,,not_supplied_for_pair,905.854,95.854,3.613,#75adcb,dot,true,2.898,0.735,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CCR6_CCL20,,,,not_supplied_for_pair,934.675,95.975,3.568,#4288b5,dot,true,2.883,0.737,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CCR7_CCL19,0.95,0,1.5,official_source_mapped,963.049,95.815,12.779,#f5c1a8,circle,true,3.319,0.697,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CXCL10_CXCR3,,,,not_supplied_for_pair,991.475,95.925,3.568,#174b85,dot,true,3.698,0.662,raster_detected_marker,visible_geometry_extracted
Treg_C2_HSPA1A.DC_C3_LAMP3,CXCR3_CCL19,1.061,0,1.5,official_source_mapped,1020.211,95.749,12.828,#e99e7e,circle,true,3.775,0.655,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CXCR3_CXCL9,0.699,0,1.5,official_source_mapped,1048.885,95.820,12.476,#ccdee6,circle,true,3.905,0.643,raster_detected_marker,official_source_mapped_and_visible
Treg_C2_HSPA1A.DC_C3_LAMP3,CXCR6_CXCL16,0.66,0,1.5,official_source_mapped,1077.377,95.810,12.565,#bfd9e6,circle,true,4.221,0.614,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,ADORA2A_ENTPD1,,,,not_supplied_for_pair,362.929,131.810,3.656,#2664a2,dot,true,1.606,0.853,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,BTLA_TNFRSF14,,,,not_supplied_for_pair,391.146,131.854,3.613,#3d84b4,dot,true,1.041,0.905,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CD80_CD274,,,,not_supplied_for_pair,420.000,131.756,3.613,#3577ac,dot,true,1.128,0.897,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CTLA4_CD80,0.564,0,1.5,official_source_mapped,448.430,131.724,12.704,#9cc6da,circle,true,0.843,0.923,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CTLA4_CD86,0.947,0,1.5,official_source_mapped,477.135,131.564,12.766,#f5c2a9,circle,true,0.900,0.918,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,LGALS9_HAVCR2,,,,not_supplied_for_pair,505.608,131.689,4.853,#357aae,dot,true,0.645,0.941,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,PDCD1_CD274,,,,not_supplied_for_pair,534.317,131.829,3.613,#387caf,dot,true,0.488,0.955,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,PDCD1_PDCD1LG2,,,,not_supplied_for_pair,562.854,131.854,3.613,#2f71aa,dot,true,0.502,0.954,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,TNF_FAS,,,,not_supplied_for_pair,591.316,131.816,3.478,#2563a1,dot,true,0.741,0.932,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CD27_CD70,0.853,0,1.5,official_source_mapped,620.024,131.757,12.590,#f2d7c9,circle,true,0.854,0.922,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CD28_CD80,0.547,0,1.5,official_source_mapped,648.652,131.720,12.754,#95c1d8,circle,true,1.019,0.907,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CD28_CD86,0.929,0,1.5,official_source_mapped,677.186,131.657,12.741,#f6c8b0,circle,true,1.282,0.883,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CD40_TNFSF13B,,,,not_supplied_for_pair,706.000,131.756,3.613,#5597be,dot,true,1.229,0.888,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CD55_ADGRE5,,,,not_supplied_for_pair,734.146,131.854,3.613,#3a80b2,dot,true,1.816,0.834,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CD6_ALCAM,0.48,0,1.5,official_source_mapped,762.963,131.578,12.766,#7cb1cd,circle,true,1.897,0.827,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CSF1_SIRPA,,,,not_supplied_for_pair,791.810,131.929,3.656,#2866a3,dot,true,1.752,0.840,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,TNF_ICOS,,,,not_supplied_for_pair,820.000,131.756,3.613,#194f89,dot,true,2.393,0.781,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,TNFSF9_TNFRSF9,,,,not_supplied_for_pair,848.872,131.872,3.523,#2563a1,dot,true,2.305,0.789,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CCL22_CCR4,,,,not_supplied_for_pair,877.459,131.919,3.432,#12315a,dot,true,2.514,0.770,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CCR4_CCL17,0.577,0,1.5,official_source_mapped,905.974,131.688,12.653,#a1c9db,circle,true,2.845,0.740,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CCR6_CCL20,,,,not_supplied_for_pair,934.684,131.816,3.478,#2b6aa5,dot,true,2.916,0.734,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CCR7_CCL19,0.925,0,1.5,official_source_mapped,963.037,131.598,12.716,#f6cab2,circle,true,3.404,0.689,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CXCL10_CXCR3,,,,not_supplied_for_pair,991.611,131.861,3.385,#12315a,dot,true,3.590,0.672,raster_detected_marker,visible_geometry_extracted
Treg_C1_SELL.DC_C3_LAMP3,CXCR3_CCL19,0.895,0,1.5,official_source_mapped,1020.242,131.707,12.628,#f5d0bc,circle,true,3.788,0.654,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CXCR3_CXCL9,0.533,0,1.5,official_source_mapped,1048.826,131.584,12.766,#90bed6,circle,true,4.029,0.632,raster_detected_marker,official_source_mapped_and_visible
Treg_C1_SELL.DC_C3_LAMP3,CXCR6_CXCL16,,,,not_supplied_for_pair,1077.316,131.816,3.478,#7fb4cf,dot,true,4.309,0.606,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,ADORA2A_ENTPD1,0.382,0,1.5,official_source_mapped,362.718,167.580,12.890,#5395bd,circle,true,1.719,0.843,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,BTLA_TNFRSF14,0.433,0,1.5,official_source_mapped,391.340,167.550,12.841,#67a3c5,circle,true,1.602,0.854,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD80_CD274,,,,not_supplied_for_pair,420.000,167.410,3.523,#478cb8,dot,true,1.610,0.853,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CTLA4_CD80,,,,not_supplied_for_pair,448.675,167.325,3.568,#2563a1,dot,true,1.605,0.853,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CTLA4_CD86,,,,not_supplied_for_pair,477.025,167.325,3.568,#194f89,dot,true,1.417,0.871,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,LGALS9_HAVCR2,,,,not_supplied_for_pair,505.500,167.500,3.192,#bdd8e7,dot,true,1.189,0.891,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,PDCD1_CD274,,,,not_supplied_for_pair,534.162,167.405,3.432,#134981,dot,true,1.285,0.883,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,PDCD1_PDCD1LG2,,,,not_supplied_for_pair,562.838,167.405,3.432,#08396a,dot,true,1.301,0.881,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,TNF_FAS,0.683,0,1.5,official_source_mapped,591.500,167.548,12.386,#c7dce8,circle,true,1.197,0.891,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD27_CD70,,,,not_supplied_for_pair,619.975,167.325,3.568,#2e6fa9,dot,true,1.531,0.860,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD28_CD80,,,,not_supplied_for_pair,648.561,167.268,3.613,#1b5490,dot,true,1.691,0.846,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD28_CD86,,,,not_supplied_for_pair,677.162,167.405,3.432,#0c3f73,dot,true,1.707,0.844,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD40_TNFSF13B,,,,not_supplied_for_pair,705.914,167.543,3.338,#bad7e5,dot,true,1.645,0.850,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD55_ADGRE5,0.644,0.017,0.442388,official_source_mapped,734.389,167.550,12.101,#b9d6e5,circle,true,1.894,0.827,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,CD6_ALCAM,,,,not_supplied_for_pair,763.000,167.410,3.523,#0c3f74,dot,true,2.136,0.805,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CSF1_SIRPA,,,,not_supplied_for_pair,791.757,167.378,3.432,#12315a,dot,true,2.195,0.799,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,TNF_ICOS,1.333,0,1.5,official_source_mapped,820.226,167.605,12.878,#b73639,circle,true,2.363,0.784,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,TNFSF9_TNFRSF9,0.552,0,1.5,official_source_mapped,848.835,167.494,12.641,#97c3d9,circle,true,2.591,0.763,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,CCL22_CCR4,,,,not_supplied_for_pair,877.353,167.500,3.290,#f7ccb6,dot,true,2.849,0.740,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CCR4_CCL17,,,,not_supplied_for_pair,905.838,167.405,3.432,#103460,dot,true,3.182,0.709,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CCR6_CCL20,0.288,0,1.5,official_source_mapped,934.490,167.571,12.866,#387caf,circle,true,3.264,0.702,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C4_TNFRSF4,CCR7_CCL19,,,,not_supplied_for_pair,963.000,167.410,3.523,#f1b598,dot,true,3.600,0.671,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CXCL10_CXCR3,0.78,0,1.5,official_source_mapped,,,,,not_visible,false,,,no_separable_marker_in_raster,official_source_not_visible_in_raster
DC_C3_LAMP3.Treg_C4_TNFRSF4,CXCR3_CCL19,,,,not_supplied_for_pair,1020.162,167.405,3.432,#0c4278,dot,true,4.028,0.632,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CXCR3_CXCL9,,,,not_supplied_for_pair,1048.975,167.325,3.568,#0e4379,dot,true,4.050,0.630,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C4_TNFRSF4,CXCR6_CXCL16,,,,not_supplied_for_pair,1077.184,167.316,3.478,#0b3868,dot,true,4.620,0.578,raster_detected_marker,visible_geometry_extracted
DC_C3_LAMP3.Treg_C3_MKI67,ADORA2A_ENTPD1,0.355,0,1.5,official_source_mapped,362.715,203.406,12.890,#4a8db8,circle,true,2.112,0.807,raster_detected_marker,official_source_mapped_and_visible
DC_C3_LAMP3.Treg_C3_MKI67,BTLA_TNFRSF14,0.366,0,1.5,official_source_mapped,391.352,203.386,12.903,#4c90bb,circle,true,2.027,0.815,raster_detected_marker,official_source_mapped_and_visible
