series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status
Mackey-Glass,27.63328999,0.78769751,201,174.8686,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,28.73862159,0.75622839,202,181.1293,0.00175926,0.947,visible_trace_observed
Mackey-Glass,29.84395319,0.73414566,203,185.5226,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,30.94928479,0.71838521,204,188.6581,0.00192664,0.8848,visible_trace_observed
Mackey-Glass,32.05461638,0.70527722,205,191.2659,0.00223275,0.9924,visible_trace_observed
Mackey-Glass,33.15994798,0.70747981,206,190.8277,0.00233127,1.0,visible_trace_observed
Mackey-Glass,34.26527958,0.71460381,207,189.4104,0.00201561,0.9924,visible_trace_observed
Mackey-Glass,35.37061118,0.72388265,208,187.5644,0.00191206,0.9699,visible_trace_observed
Mackey-Glass,36.47594278,0.74728481,209,182.9086,0.00175926,1.0,visible_trace_observed
Mackey-Glass,37.58127438,0.77382952,210,177.6276,0.00175926,1.0,visible_trace_observed
Mackey-Glass,38.68660598,0.7944787,211,173.5195,0.00175926,1.0,visible_trace_observed
Mackey-Glass,39.79193758,0.82600966,212,167.2465,0.00175926,0.947,visible_trace_observed
Mackey-Glass,40.89726918,0.85266444,213,161.9436,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,42.00260078,0.88248439,214,156.011,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,43.10793238,0.92445127,215,147.6618,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,44.21326398,0.95997122,216,140.5952,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,45.31859558,0.98913119,217,134.7939,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,46.42392718,1.01993833,218,128.6649,0.00175926,0.979,visible_trace_observed
Mackey-Glass,47.52925878,1.04615079,219,123.45,0.00175926,0.979,visible_trace_observed
Mackey-Glass,48.63459038,1.07477847,220,117.7546,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,49.73992198,1.1044436,221,111.8528,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,50.84525358,1.12497466,222,107.7682,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,51.95058518,1.1422737,223,104.3266,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,53.05591678,1.1563146,224,101.5332,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,54.16124837,1.1737378,225,98.0669,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,55.26657997,1.18544794,226,95.7372,0.00175926,0.979,visible_trace_observed
Mackey-Glass,56.37191157,1.20172712,227,92.4985,0.00190955,0.8259,visible_trace_observed
Mackey-Glass,57.47724317,1.20569902,228,91.7083,0.0019759,0.7117,visible_trace_observed
Mackey-Glass,58.58257477,1.19453728,229,93.9289,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,59.68790637,1.16890437,230,99.0285,0.00175926,0.8661,visible_trace_observed
Mackey-Glass,60.79323797,1.14176452,231,104.4279,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,61.89856957,1.11217529,232,110.3146,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,63.00390117,1.08568336,233,115.5851,0.00175926,1.0,visible_trace_observed
Mackey-Glass,64.10923277,1.03006714,234,126.6498,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,65.21456437,0.97386987,235,137.8301,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,66.31989597,0.92825127,236,146.9058,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,67.42522757,0.87725889,237,157.0506,0.00175926,0.947,visible_trace_observed
Mackey-Glass,68.53055917,0.82885061,238,166.6813,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,69.63589077,0.78632228,239,175.1422,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,70.74122237,0.72864069,240,186.6178,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,71.84655397,0.67594384,241,197.1017,0.00175926,0.947,visible_trace_observed
Mackey-Glass,72.95188557,0.63381611,242,205.4829,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,74.05721717,0.60144624,243,211.9228,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,75.16254876,0.56993942,244,218.191,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,76.26788036,0.54180786,245,223.7877,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,77.37321196,0.51041966,246,230.0323,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,78.47854356,0.49637976,247,232.8255,0.00175926,0.979,visible_trace_observed
Mackey-Glass,79.58387516,0.49613146,248,232.8749,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,80.68920676,0.5318037,249,225.778,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,81.79453836,0.56041479,250,220.0859,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,82.89986996,0.59618405,251,212.9697,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,84.00520156,0.65015209,252,202.2329,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,85.11053316,0.69181939,253,193.9433,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,86.21586476,0.73418939,254,185.5139,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,87.32119636,0.77959889,255,176.4798,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,88.42652796,0.81603667,256,169.2306,0.00175926,0.8661,visible_trace_observed
Mackey-Glass,89.53185956,0.8476782,257,162.9356,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,90.63719116,0.89286704,258,153.9454,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,91.74252276,0.91305831,259,149.9284,0.00184923,0.8044,visible_trace_observed
Mackey-Glass,92.84785436,0.9276295,260,147.0295,0.0023745,0.7592,visible_trace_observed
Mackey-Glass,93.95318596,0.9276295,261,147.0295,0.0023745,0.7592,visible_trace_observed
Mackey-Glass,95.05851756,0.92562193,262,147.4289,0.00224331,0.8259,visible_trace_observed
Mackey-Glass,96.16384915,0.92346407,263,147.8582,0.00234082,0.947,visible_trace_observed
Mackey-Glass,97.26918075,0.92107651,264,148.3332,0.00246698,0.9966,visible_trace_observed
Mackey-Glass,98.37451235,0.93506765,265,145.5497,0.0018809,0.8848,visible_trace_observed
Mackey-Glass,99.47984395,0.94971272,266,142.6361,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,100.58517555,0.96594265,267,139.4072,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,101.69050715,0.98472349,268,135.6708,0.00175926,0.947,visible_trace_observed
Mackey-Glass,102.79583875,0.99683524,269,133.2612,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,103.90117035,1.01093796,270,130.4555,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,105.00650195,1.03184852,271,126.2954,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,106.11183355,1.05136122,272,122.4134,0.00176378,0.9185,visible_trace_observed
Mackey-Glass,107.21716515,1.06681053,273,119.3398,0.00223325,0.9699,visible_trace_observed
Mackey-Glass,108.32249675,1.07345751,274,118.0174,0.00259717,0.9334,visible_trace_observed
Mackey-Glass,109.42782835,1.0741004,275,117.8895,0.00265196,0.9022,visible_trace_observed
Mackey-Glass,110.53315995,1.07339519,276,118.0298,0.00271579,0.7117,visible_trace_observed
Mackey-Glass,111.63849155,1.07103175,277,118.5,0.00291886,0.7117,visible_trace_observed
Mackey-Glass,112.74382315,1.07550479,278,117.6101,0.00256751,0.7117,visible_trace_observed
Mackey-Glass,113.84915475,1.07691119,279,117.3303,0.00247955,0.7117,visible_trace_observed
Mackey-Glass,114.95448635,1.08193011,280,116.3318,0.00246648,0.9992,visible_trace_observed
Mackey-Glass,116.05981795,1.07763802,281,117.1857,0.00224783,0.979,visible_trace_observed
Mackey-Glass,117.16514954,1.06052394,282,120.5905,0.00177283,0.9992,visible_trace_observed
Mackey-Glass,118.27048114,1.03639193,283,125.3915,0.00175926,0.947,visible_trace_observed
Mackey-Glass,119.37581274,0.99923889,284,132.783,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,120.48114434,0.97925622,285,136.7585,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,121.58647594,0.95104272,286,142.3715,0.00175926,0.979,visible_trace_observed
Mackey-Glass,122.69180754,0.92088651,287,148.371,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,123.79713914,0.88815222,288,154.8834,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,124.90247074,0.85652778,289,161.175,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,126.00780234,0.81127963,290,170.177,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,127.11313394,0.77879114,291,176.6405,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,128.21846554,0.75255304,292,181.8605,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,129.32379714,0.72416865,293,187.5075,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,130.42912874,0.70418246,294,191.4837,0.00175926,0.8661,visible_trace_observed
Mackey-Glass,131.53446034,0.68603093,295,195.0949,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,132.63979194,0.66708772,296,198.8636,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,133.74512354,0.65508153,297,201.2522,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,134.85045514,0.64317989,298,203.62,0.00198847,0.979,visible_trace_observed
Mackey-Glass,135.95578674,0.64596757,299,203.0654,0.00189095,0.9966,visible_trace_observed
Mackey-Glass,137.06111834,0.67132452,300,198.0207,0.00175926,0.979,visible_trace_observed
Mackey-Glass,138.16644993,0.699535,301,192.4083,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,139.27178153,0.7264386,302,187.0559,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,140.37711313,0.76707799,303,178.9708,0.00175926,0.947,visible_trace_observed
Mackey-Glass,141.48244473,0.80373593,304,171.6778,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,142.58777633,0.84523082,305,163.4225,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,143.69310793,0.88118304,306,156.2699,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,144.79843953,0.92347061,307,147.8569,0.00175926,1.0,visible_trace_observed
Mackey-Glass,145.90377113,0.9643578,308,139.7225,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,147.00910273,1.00350132,309,131.935,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,148.11443433,1.02669992,310,127.3197,0.00175926,0.979,visible_trace_observed
Mackey-Glass,149.21976593,1.04967484,311,122.7489,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,150.32509753,1.0668236,312,119.3372,0.00176127,0.9966,visible_trace_observed
Mackey-Glass,151.43042913,1.0814928,313,116.4188,0.00186783,0.9966,visible_trace_observed
Mackey-Glass,152.53576073,1.09387799,314,113.9548,0.00207341,0.9185,visible_trace_observed
Mackey-Glass,153.64109233,1.10869749,315,111.0065,0.00193016,0.9592,visible_trace_observed
Mackey-Glass,154.74642393,1.12607495,316,107.5493,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,155.85175553,1.13802786,317,105.1713,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,156.95708713,1.14621495,318,103.5425,0.00175926,1.0,visible_trace_observed
Mackey-Glass,158.06241873,1.15095741,319,102.599,0.00177534,0.8465,visible_trace_observed
Mackey-Glass,159.16775033,1.16068159,320,100.6644,0.00184873,0.947,visible_trace_observed
Mackey-Glass,160.27308192,1.15069653,321,102.6509,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,161.37841352,1.11817839,322,109.1203,0.00175926,0.947,visible_trace_observed
Mackey-Glass,162.48374512,1.09289733,323,114.1499,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,163.58907672,1.06620333,324,119.4606,0.00175926,0.8465,visible_trace_observed
Mackey-Glass,164.69440832,1.03150974,325,126.3628,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,165.79973992,0.99264519,326,134.0948,0.00175926,0.979,visible_trace_observed
Mackey-Glass,166.90507152,0.95221741,327,142.1378,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,168.01040312,0.89545415,328,153.4307,0.00175926,0.947,visible_trace_observed
Mackey-Glass,169.11573472,0.85029598,329,162.4148,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,170.22106632,0.81321079,330,169.7928,0.00175926,1.0,visible_trace_observed
Mackey-Glass,171.32639792,0.7720386,331,177.9839,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,172.43172952,0.7312273,332,186.1032,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,173.53706112,0.69479958,333,193.3504,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,174.64239272,0.65558619,334,201.1518,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,175.74772432,0.61957365,335,208.3164,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,176.85305592,0.59370701,336,213.4625,0.00175926,0.8044,visible_trace_observed
Mackey-Glass,177.95838752,0.5737369,337,217.4355,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,179.06371912,0.55437198,338,221.2881,0.00175926,1.0,visible_trace_observed
Mackey-Glass,180.16905072,0.54418336,339,223.3151,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,181.27438231,0.5583263,340,220.5014,0.00175926,1.0,visible_trace_observed
Mackey-Glass,182.37971391,0.60364029,341,211.4863,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,183.48504551,0.63628862,342,204.991,0.00175926,0.8848,visible_trace_observed
Mackey-Glass,184.59037711,0.67106817,343,198.0717,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,185.69570871,0.70605532,344,191.1111,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,186.80104031,0.74703098,345,182.9591,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,187.90637191,0.79921262,346,172.5777,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,189.01170351,0.85194868,347,162.086,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,190.11703511,0.88654175,348,155.2038,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,191.22236671,0.92108254,349,148.332,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,192.32769831,0.94589061,350,143.3965,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,193.43302991,0.96437791,351,139.7185,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,194.53836151,0.97680833,352,137.2455,0.00204929,0.9966,visible_trace_observed
Mackey-Glass,195.64369311,0.98837069,353,134.9452,0.00267759,0.8044,visible_trace_observed
Mackey-Glass,196.74902471,0.98600222,354,135.4164,0.00244034,0.9924,visible_trace_observed
Mackey-Glass,197.85435631,0.98559407,355,135.4976,0.00241119,0.9966,visible_trace_observed
Mackey-Glass,198.95968791,0.99548161,356,133.5305,0.00200354,0.9865,visible_trace_observed
Mackey-Glass,200.06501951,1.01118175,357,130.407,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,201.17035111,1.02604548,358,127.4499,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,202.2756827,1.04527468,359,123.6243,0.00175926,0.7821,visible_trace_observed
Mackey-Glass,203.3810143,1.05250222,360,122.1864,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,204.4863459,1.06573638,361,119.5535,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,205.5916775,1.07906804,362,116.9012,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,206.6970091,1.08511336,363,115.6985,0.00184421,0.7592,visible_trace_observed
Mackey-Glass,207.8023407,1.07489608,364,117.7312,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,208.9076723,1.05824847,365,121.0432,0.00175926,0.979,visible_trace_observed
Mackey-Glass,210.0130039,1.04442873,366,123.7926,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,211.1183355,1.03125288,367,126.4139,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,212.2236671,1.01186786,368,130.2705,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,213.3289987,0.99296085,369,134.032,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,214.4343303,0.97961762,370,136.6866,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,215.5396619,0.9478273,371,143.0112,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,216.6449935,0.92434772,372,147.6824,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,217.7503251,0.89849516,373,152.8257,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,218.8556567,0.87662907,374,157.1759,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,219.9609883,0.85314196,375,161.8486,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,221.0663199,0.82633286,376,167.1822,0.00175926,1.0,visible_trace_observed
Mackey-Glass,222.1716515,0.79368603,377,173.6772,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,223.27698309,0.76191783,378,179.9974,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,224.38231469,0.74233024,379,183.8943,0.00175926,1.0,visible_trace_observed
Mackey-Glass,225.48764629,0.72587212,380,187.1686,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,226.59297789,0.70670976,381,190.9809,0.00175926,0.8848,visible_trace_observed
Mackey-Glass,227.69830949,0.69322579,382,193.6635,0.00209452,0.7117,visible_trace_observed
Mackey-Glass,228.80364109,0.6960572,383,193.1002,0.00199399,0.7357,visible_trace_observed
Mackey-Glass,229.90897269,0.71457968,384,189.4152,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,231.01430429,0.73516553,385,185.3197,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,232.11963589,0.7484786,386,182.6711,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,233.22496749,0.7733314,387,177.7267,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,234.33029909,0.80762138,388,170.9048,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,235.43563069,0.83835463,389,164.7905,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,236.54096229,0.87862759,390,156.7783,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,237.64629389,0.91410733,391,149.7197,0.00175926,0.947,visible_trace_observed
Mackey-Glass,238.75162549,0.94570061,392,143.4343,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,239.85695709,0.97311339,393,137.9806,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,240.96228869,1.00193759,394,132.2461,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,242.06762029,1.03039889,395,126.5838,0.00175926,0.8661,visible_trace_observed
Mackey-Glass,243.17295189,1.06581931,396,119.537,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,244.27828349,1.08898222,397,114.9288,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,245.38361508,1.10869397,398,111.0072,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,246.48894668,1.12818606,399,107.1293,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,247.59427828,1.14061296,400,104.657,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,248.69960988,1.15624775,401,101.5465,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,249.80494148,1.17330854,402,98.1523,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,250.91027308,1.1815278,403,96.5171,0.00178389,0.8848,visible_trace_observed
Mackey-Glass,252.01560468,1.19259505,404,94.3153,0.00193519,0.9022,visible_trace_observed
Mackey-Glass,253.12093628,1.19415828,405,94.0043,0.00193267,0.979,visible_trace_observed
Mackey-Glass,254.22626788,1.17420577,406,97.9738,0.00175926,0.979,visible_trace_observed
Mackey-Glass,255.33159948,1.1518873,407,102.414,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,256.43693108,1.12162854,408,108.4339,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,257.54226268,1.08368685,409,115.9823,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,258.64759428,1.03675735,410,125.3188,0.00175926,1.0,visible_trace_observed
Mackey-Glass,259.75292588,0.99982698,411,132.666,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,260.85825748,0.95306135,412,141.9699,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,261.96358908,0.89896413,413,152.7324,0.00175926,0.947,visible_trace_observed
Mackey-Glass,263.06892068,0.85976683,414,160.5306,0.00175926,1.0,visible_trace_observed
Mackey-Glass,264.17425228,0.80130312,415,172.1618,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,265.27958388,0.74237698,416,183.885,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,266.38491547,0.69992003,417,192.3317,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,267.49024707,0.66319725,418,199.6376,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,268.59557867,0.62482981,419,207.2707,0.00175926,0.8848,visible_trace_observed
Mackey-Glass,269.70091027,0.5951109,420,213.1832,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,270.80624187,0.55680881,421,220.8033,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,271.91157347,0.53179767,422,225.7792,0.00175926,1.0,visible_trace_observed
Mackey-Glass,273.01690507,0.51066444,423,229.9836,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,274.12223667,0.5053163,424,231.0476,0.00175926,0.9592,visible_trace_observed
Mackey-Glass,275.22756827,0.52256508,425,227.616,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,276.33289987,0.55497616,426,221.1679,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,277.43823147,0.5922413,427,213.7541,0.00175926,0.979,visible_trace_observed
Mackey-Glass,278.54356307,0.63252984,428,205.7388,0.00175926,1.0,visible_trace_observed
Mackey-Glass,279.64889467,0.68174487,429,195.9476,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,280.75422627,0.72121209,430,188.0957,0.00175926,1.0,visible_trace_observed
Mackey-Glass,281.85955787,0.76702571,431,178.9812,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,282.96488947,0.80353738,432,171.7173,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,284.07022107,0.84453164,433,163.5616,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,285.17555267,0.88990947,434,154.5338,0.00175926,1.0,visible_trace_observed
Mackey-Glass,286.28088427,0.91322669,435,149.8949,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,287.38621586,0.92934553,436,146.6881,0.00202164,0.9334,visible_trace_observed
Mackey-Glass,288.49154746,0.93916823,437,144.7339,0.00246146,0.7117,visible_trace_observed
Mackey-Glass,289.59687906,0.93798601,438,144.9691,0.00239259,0.7117,visible_trace_observed
Mackey-Glass,290.70221066,0.93279921,439,146.001,0.00229458,0.9924,visible_trace_observed
Mackey-Glass,291.80754226,0.93191907,440,146.1761,0.00225788,0.979,visible_trace_observed
Mackey-Glass,292.91287386,0.93818556,441,144.9294,0.0019568,0.8848,visible_trace_observed
Mackey-Glass,294.01820546,0.95081704,442,142.4164,0.00175926,0.9966,visible_trace_observed
Mackey-Glass,295.12353706,0.97104601,443,138.3919,0.00175926,0.8465,visible_trace_observed
Mackey-Glass,296.22886866,0.98796958,444,135.025,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,297.33420026,1.0035918,445,131.917,0.00175926,0.979,visible_trace_observed
Mackey-Glass,298.43953186,1.01378093,446,129.8899,0.00175926,0.947,visible_trace_observed
Mackey-Glass,299.54486346,1.03709161,447,125.2523,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,300.65019506,1.05692148,448,121.3072,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,301.75552666,1.07236677,449,118.2344,0.00204275,0.9966,visible_trace_observed
Mackey-Glass,302.86085826,1.07513082,450,117.6845,0.00215585,0.9592,visible_trace_observed
Mackey-Glass,303.96618986,1.07103175,451,118.5,0.0022609,0.7117,visible_trace_observed
Mackey-Glass,305.07152146,1.06636468,452,119.4285,0.00218349,0.9865,visible_trace_observed
Mackey-Glass,306.17685306,1.057875,453,121.1175,0.0025268,0.7117,visible_trace_observed
Mackey-Glass,307.28218466,1.05262336,454,122.1623,0.00262833,0.9966,visible_trace_observed
Mackey-Glass,308.38751625,1.05261632,455,122.1637,0.00262783,0.9992,visible_trace_observed
Mackey-Glass,309.49284785,1.05265101,456,122.1568,0.00263085,0.9865,visible_trace_observed
Mackey-Glass,310.59817945,1.04810357,457,123.0615,0.00236143,0.7821,visible_trace_observed
Mackey-Glass,311.70351105,1.03368468,458,125.9301,0.00184923,0.9992,visible_trace_observed
Mackey-Glass,312.80884265,1.01584479,459,129.4793,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,313.91417425,0.9796704,460,136.6761,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,315.01950585,0.95871712,461,140.8447,0.00175926,0.979,visible_trace_observed
Mackey-Glass,316.12483745,0.93181553,462,146.1967,0.00175926,0.947,visible_trace_observed
Mackey-Glass,317.23016905,0.90291995,463,151.9454,0.00175926,0.979,visible_trace_observed
Mackey-Glass,318.33550065,0.8782114,464,156.8611,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,319.44083225,0.83803746,465,164.8536,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,320.54616385,0.79992638,466,172.4357,0.00175926,0.9334,visible_trace_observed
Mackey-Glass,321.65149545,0.77632516,467,177.1311,0.00175926,1.0,visible_trace_observed
Mackey-Glass,322.75682705,0.74783772,468,182.7986,0.00175926,0.9865,visible_trace_observed
