kind,pixel_x,left_px,right_px,top_px,bottom_px,width_px,max_vertical_gap_px,guide_role,column_index,column_id,value,member_count,members,pixel_y,height_px,area_px,row_index,row_id,row_type,derived_total,status,foreground_fraction
membership_cell,847.5,,,,,,,,10,I10,,,,364.5,,,1,Direct Match,,,active,0.7283950617283951
membership_cell,847.5,,,,,,,,10,I10,,,,423.5,,,2,Non-Synon,,,inactive,0.0
membership_cell,847.5,,,,,,,,10,I10,,,,481.5,,,3,Position-Specific,,,active,0.7187928669410151
membership_cell,847.5,,,,,,,,10,I10,,,,540.5,,,4,Diagnosis Match,,,active,0.7270233196159122
membership_cell,847.5,,,,,,,,10,I10,,,,599.0,,,5,AMP Tier I,,,inactive,0.0
membership_cell,908.0,,,,,,,,11,I11,,,,364.5,,,1,Direct Match,,,active,0.7256515775034293
membership_cell,908.0,,,,,,,,11,I11,,,,423.5,,,2,Non-Synon,,,inactive,0.0
membership_cell,908.0,,,,,,,,11,I11,,,,481.5,,,3,Position-Specific,,,active,0.720164609053498
membership_cell,908.0,,,,,,,,11,I11,,,,540.5,,,4,Diagnosis Match,,,inactive,0.0
membership_cell,908.0,,,,,,,,11,I11,,,,599.0,,,5,AMP Tier I,,,active,0.7187928669410151
membership_cell,968.0,,,,,,,,12,I12,,,,364.5,,,1,Direct Match,,,active,0.7174211248285323
membership_cell,968.0,,,,,,,,12,I12,,,,423.5,,,2,Non-Synon,,,inactive,0.0
membership_cell,968.0,,,,,,,,12,I12,,,,481.5,,,3,Position-Specific,,,active,0.7242798353909465
membership_cell,968.0,,,,,,,,12,I12,,,,540.5,,,4,Diagnosis Match,,,active,0.7187928669410151
membership_cell,968.0,,,,,,,,12,I12,,,,599.0,,,5,AMP Tier I,,,active,0.720164609053498
