kind,series,category,x,y,value,pixel_x,pixel_y,width,height,fill,value_status,visible_label
cell,row 5,column 7,7,5,0.0,680.0,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.10
cell,row 5,column 8,8,5,0.0,793.333,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.20
cell,row 5,column 9,9,5,-0.4627,906.667,455.333,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.23
cell,row 5,column 10,10,5,0.0,1020.0,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.15
cell,row 5,column 11,11,5,0.0,1133.333,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.06
cell,row 5,column 12,12,5,0.0,1246.667,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.04
cell,row 6,column 1,1,6,0.0,0.0,569.167,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 6,column 2,2,6,0.0,113.333,569.167,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 6,column 3,3,6,0.0,226.667,569.167,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 6,column 4,4,6,0.0,340.0,569.167,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 6,column 5,5,6,0.0,453.333,569.167,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 6,column 6,6,6,0.0,566.667,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.17
cell,row 6,column 7,7,6,0.0,680.0,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.01
cell,row 6,column 8,8,6,0.0,793.333,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.13
cell,row 6,column 9,9,6,0.6431,906.667,569.167,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.24
cell,row 6,column 10,10,6,0.0,1020.0,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.06
cell,row 6,column 11,11,6,0.0,1133.333,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.16
cell,row 6,column 12,12,6,0.0,1246.667,569.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.06
cell,row 7,column 1,1,7,0.0,0.0,683.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 7,column 2,2,7,0.0,113.333,683.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 7,column 3,3,7,0.0,226.667,683.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 7,column 4,4,7,0.0,340.0,683.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 7,column 5,5,7,0.0,453.333,683.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 7,column 6,6,7,0.0,566.667,683.0,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 7,column 7,7,7,0.6431,680.0,683.0,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.39
cell,row 7,column 8,8,7,0.0,793.333,683.0,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.08
cell,row 7,column 9,9,7,0.0,906.667,683.0,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.07
cell,row 7,column 10,10,7,0.349,1020.0,683.0,113.833,114.333,#a5a64c,colourbar_scaled_candidate,−0.41
cell,row 7,column 11,11,7,0.0,1133.333,683.0,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.14
cell,row 7,column 12,12,7,0.0,1246.667,683.0,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.01
cell,row 8,column 1,1,8,0.0,0.0,796.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 8,column 2,2,8,0.0,113.333,796.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 8,column 3,3,8,0.0,226.667,796.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 8,column 4,4,8,0.0,340.0,796.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 8,column 5,5,8,0.0,453.333,796.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 8,column 6,6,8,0.0,566.667,796.833,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 8,column 7,7,8,0.0,680.0,796.833,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 8,column 8,8,8,0.0,793.333,796.833,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.16
cell,row 8,column 9,9,8,0.0,906.667,796.833,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,−0.04
cell,row 8,column 10,10,8,-0.3373,1020.0,796.833,113.833,114.333,#45469b,colourbar_scaled_candidate,0.69
cell,row 8,column 11,11,8,-0.4627,1133.333,796.833,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.31
cell,row 8,column 12,12,8,-0.4745,1246.667,796.833,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.42
cell,row 9,column 1,1,9,0.0,0.0,910.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 9,column 2,2,9,0.0,113.333,910.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 9,column 3,3,9,0.0,226.667,910.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 9,column 4,4,9,0.0,340.0,910.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 9,column 5,5,9,0.0,453.333,910.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 9,column 6,6,9,0.0,566.667,910.667,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 9,column 7,7,9,0.0,680.0,910.667,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 9,column 8,8,9,0.0,793.333,910.667,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 9,column 9,9,9,-0.4745,906.667,910.667,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.55
cell,row 9,column 10,10,9,-0.4627,1020.0,910.667,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.21
cell,row 9,column 11,11,9,-0.4745,1133.333,910.667,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.56
cell,row 9,column 12,12,9,-0.4627,1246.667,910.667,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.26
cell,row 10,column 1,1,10,0.0,0.0,1024.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 10,column 2,2,10,0.0,113.333,1024.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 10,column 3,3,10,0.0,226.667,1024.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 10,column 4,4,10,0.0,340.0,1024.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 10,column 5,5,10,0.0,453.333,1024.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 10,column 6,6,10,0.0,566.667,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 10,column 7,7,10,0.0,680.0,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 10,column 8,8,10,0.0,793.333,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 10,column 9,9,10,0.0,906.667,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 10,column 10,10,10,0.0,1020.0,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,−0.03
cell,row 10,column 11,11,10,-0.4627,1133.333,1024.5,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.38
cell,row 10,column 12,12,10,0.0,1246.667,1024.5,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.18
cell,row 11,column 1,1,11,0.0,0.0,1138.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 11,column 2,2,11,0.0,113.333,1138.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 11,column 3,3,11,0.0,226.667,1138.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 11,column 4,4,11,0.0,340.0,1138.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 11,column 5,5,11,0.0,453.333,1138.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 11,column 6,6,11,0.0,566.667,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 11,column 7,7,11,0.0,680.0,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 11,column 8,8,11,0.0,793.333,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 11,column 9,9,11,0.0,906.667,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 11,column 10,10,11,0.0,1020.0,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 11,column 11,11,11,0.0,1133.333,1138.333,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,0.05
cell,row 11,column 12,12,11,-0.4627,1246.667,1138.333,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.27
cell,row 12,column 1,1,12,0.0,0.0,1252.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 12,column 2,2,12,0.0,113.333,1252.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 12,column 3,3,12,0.0,226.667,1252.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 12,column 4,4,12,0.0,340.0,1252.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 12,column 5,5,12,0.0,453.333,1252.167,113.833,114.333,#ffffff,colourbar_scaled_candidate,
cell,row 12,column 6,6,12,0.0,566.667,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 7,7,12,0.0,680.0,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 8,8,12,0.0,793.333,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 9,9,12,0.0,906.667,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 10,10,12,0.0,1020.0,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 11,11,12,0.0,1133.333,1252.167,113.833,114.333,#b2b2b2,colourbar_scaled_candidate,
cell,row 12,column 12,12,12,-0.4627,1246.667,1252.167,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.22
