record_id,kind,shape,set,value,value_status,guide_role,pixel_x,pixel_y,guide_left_px,guide_right_px,left_bar_left_px,left_bar_right_px,hit_x,hit_y,width,height,intersection,column_id,members,combination,count,member_count,bar_geometry_status,bar_left_x_px,bar_top_y_px,bar_right_x_px,bar_bottom_y_px,present,cell_status,foreground_fraction,radius
21,membership_cell,circle,FunC-4,,original_pixel_active_membership,,216.5,539.5,,,,,,,,,1,I01,,,,,,,,,,yes,active,0.408889,8
22,membership_cell,circle,FunC-3,,original_pixel_active_membership,,216.5,566.5,,,,,,,,,1,I01,,,,,,,,,,yes,active,0.408889,8
23,membership_cell,circle,FunC-1,,original_pixel_active_membership,,216.5,594.0,,,,,,,,,1,I01,,,,,,,,,,yes,active,0.382222,8
24,membership_cell,circle,FunC-1,,original_pixel_active_membership,,275.5,594.0,,,,,,,,,2,I02,,,,,,,,,,yes,active,0.377778,8
25,membership_cell,circle,FunC-3,,original_pixel_active_membership,,334.5,566.5,,,,,,,,,3,I03,,,,,,,,,,yes,active,0.377778,8
26,membership_cell,circle,FunC-4,,original_pixel_active_membership,,394.0,539.5,,,,,,,,,4,I04,,,,,,,,,,yes,active,0.404444,8
27,membership_cell,circle,FunC-3,,original_pixel_active_membership,,394.0,566.5,,,,,,,,,4,I04,,,,,,,,,,yes,active,0.408889,8
28,membership_cell,circle,FunC-1,,original_pixel_active_membership,,394.0,594.0,,,,,,,,,4,I04,,,,,,,,,,yes,active,0.408889,8
29,membership_cell,circle,FunC-2,,original_pixel_active_membership,,453.0,512.0,,,,,,,,,5,I05,,,,,,,,,,yes,active,0.382222,8
30,membership_cell,circle,FunC-4,,original_pixel_active_membership,,512.5,539.5,,,,,,,,,6,I06,,,,,,,,,,yes,active,0.373333,8
31,membership_cell,circle,FunC-4,,original_pixel_active_membership,,571.5,539.5,,,,,,,,,7,I07,,,,,,,,,,yes,active,0.404444,8
32,membership_cell,circle,FunC-3,,original_pixel_active_membership,,571.5,566.5,,,,,,,,,7,I07,,,,,,,,,,yes,active,0.404444,8
33,membership_cell,circle,FunC-3,,original_pixel_active_membership,,630.5,566.5,,,,,,,,,8,I08,,,,,,,,,,yes,active,0.386667,8
34,membership_cell,circle,FunC-1,,original_pixel_active_membership,,630.5,594.0,,,,,,,,,8,I08,,,,,,,,,,yes,active,0.395556,8
35,membership_cell,circle,FunC-2,,original_pixel_active_membership,,690.5,512.0,,,,,,,,,9,I09,,,,,,,,,,yes,active,0.391111,8
36,membership_cell,circle,FunC-4,,original_pixel_active_membership,,690.5,539.5,,,,,,,,,9,I09,,,,,,,,,,yes,active,0.422222,8
37,membership_cell,circle,FunC-3,,original_pixel_active_membership,,690.5,566.5,,,,,,,,,9,I09,,,,,,,,,,yes,active,0.404444,8
38,membership_cell,circle,FunC-2,,original_pixel_active_membership,,749.0,512.0,,,,,,,,,10,I10,,,,,,,,,,yes,active,0.408889,8
39,membership_cell,circle,FunC-4,,original_pixel_active_membership,,749.0,539.5,,,,,,,,,10,I10,,,,,,,,,,yes,active,0.426667,8
40,membership_cell,circle,FunC-1,,original_pixel_active_membership,,749.0,594.0,,,,,,,,,10,I10,,,,,,,,,,yes,active,0.417778,8
41,membership_cell,circle,FunC-4,,original_pixel_active_membership,,808.5,539.5,,,,,,,,,11,I11,,,,,,,,,,yes,active,0.395556,8
42,membership_cell,circle,FunC-1,,original_pixel_active_membership,,808.5,594.0,,,,,,,,,11,I11,,,,,,,,,,yes,active,0.404444,8
43,membership_cell,circle,FunC-2,,original_pixel_active_membership,,867.5,512.0,,,,,,,,,12,I12,,,,,,,,,,yes,active,0.395556,8
44,membership_cell,circle,FunC-1,,original_pixel_active_membership,,867.5,594.0,,,,,,,,,12,I12,,,,,,,,,,yes,active,0.404444,8
45,membership_cell,circle,FunC-2,,original_pixel_active_membership,,926.5,512.0,,,,,,,,,13,I13,,,,,,,,,,yes,active,0.382222,8
46,membership_cell,circle,FunC-3,,original_pixel_active_membership,,926.5,566.5,,,,,,,,,13,I13,,,,,,,,,,yes,active,0.395556,8
47,membership_cell,circle,FunC-1,,original_pixel_active_membership,,926.5,594.0,,,,,,,,,13,I13,,,,,,,,,,yes,active,0.391111,8
48,membership_cell,circle,FunC-2,,original_pixel_active_membership,,986.5,512.0,,,,,,,,,14,I14,,,,,,,,,,yes,active,0.391111,8
49,membership_cell,circle,FunC-4,,original_pixel_active_membership,,986.5,539.5,,,,,,,,,14,I14,,,,,,,,,,yes,active,0.382222,8
50,membership_cell,circle,FunC-2,,original_pixel_active_membership,,1045.5,512.0,,,,,,,,,15,I15,,,,,,,,,,yes,active,0.395556,8
51,membership_cell,circle,FunC-3,,original_pixel_active_membership,,1045.5,566.5,,,,,,,,,15,I15,,,,,,,,,,yes,active,0.408889,8
