kind,series,category,x,value,error_lower,error_upper,pixel_x,pixel_y,width,height,fill,stroke,stroke_width,value_status,numeric_use_allowed,x2,y2,radius,marker,pixel_uncertainty
point,S. aureus BPH2900,+,+,84.6849,,,877.0,374.0,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,S. aureus BPH2900,+,+,79.4297,,,856.0,384.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
rect,S. pyogenes HKU419,-,-,71.6868,59.02120000000001,84.3524,1294.0,352.5829911999999,74,190.41700880000008,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,S. pyogenes HKU419,-,-,71.6868,59.02120000000001,84.3524,1331.0,318.8165015999999,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,1331.0,386.3494808,,,
line,S. pyogenes HKU419,-,-,71.6868,59.02120000000001,84.3524,1311.0,318.8165015999999,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,1351.0,318.8165015999999,,,
line,S. pyogenes HKU419,-,-,71.6868,59.02120000000001,84.3524,1311.0,386.3494808,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,1351.0,386.3494808,,,
point,S. pyogenes HKU419,-,-,91.785,,,1331.0,299.0,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
point,S. pyogenes HKU419,-,-,76.7816,,,1319.0,339.0,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
point,S. pyogenes HKU419,-,-,75.4689,,,1343.0,342.5,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
point,S. pyogenes HKU419,-,-,67.0295,,,1319.0,365.0,,,#080808,,,bar_outline_overlap_candidate,false,,,6,circle,1.5
point,S. pyogenes HKU419,-,-,64.0288,,,1343.0,373.0,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
point,S. pyogenes HKU419,-,-,55.0268,,,1331.0,397.0,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
rect,S. pyogenes HKU419,+,+,107.5073,91.4971,123.5175,1408.5,257.08553819999986,74,285.91446180000014,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,S. pyogenes HKU419,+,+,107.5073,91.4971,123.5175,1445.5,214.40234499999985,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,1445.5,299.7687313999999,,,
line,S. pyogenes HKU419,+,+,107.5073,91.4971,123.5175,1425.5,214.40234499999985,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,1465.5,214.40234499999985,,,
line,S. pyogenes HKU419,+,+,107.5073,91.4971,123.5175,1425.5,299.7687313999999,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,1465.5,299.7687313999999,,,
point,S. pyogenes HKU419,+,+,134.7321,,,1445.5,184.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,S. pyogenes HKU419,+,+,111.6645,,,1433.5,246.0,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,S. pyogenes HKU419,+,+,111.2894,,,1457.5,247.0,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,S. pyogenes HKU419,+,+,103.7877,,,1445.5,267.0,,,#16800f,,,bar_outline_overlap_candidate,false,,,6,square,1.5
point,S. pyogenes HKU419,+,+,92.3476,,,1457.5,297.5,,,#16800f,,,error_line_overlap_candidate,false,,,6,square,1.5
point,S. pyogenes HKU419,+,+,91.2224,,,1433.5,300.5,,,#16800f,,,error_line_overlap_candidate,false,,,6,square,1.5
