kind,series,category,x,y,value,pixel_x,pixel_y,width,height,fill,value_status
cell,row 1,column 20,20,1,0.5255,1453.1,54.0,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 1,1,2,-0.5412,163.0,104.75,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 2,column 2,2,2,0.2039,230.9,104.75,68.4,51.25,#fcdbc8,colourbar_scaled_candidate
cell,row 2,column 3,3,2,-0.0549,298.8,104.75,68.4,51.25,#e5eef3,colourbar_scaled_candidate
cell,row 2,column 4,4,2,0.2667,366.7,104.75,68.4,51.25,#fbceb7,colourbar_scaled_candidate
cell,row 2,column 5,5,2,0.5412,434.6,104.75,68.4,51.25,#cc5142,colourbar_scaled_candidate
cell,row 2,column 6,6,2,0.3569,502.5,104.75,68.4,51.25,#f9bb9e,colourbar_scaled_candidate
cell,row 2,column 7,7,2,-0.5412,570.4,104.75,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 2,column 8,8,2,-0.0863,638.3,104.75,68.4,51.25,#dbe9f1,colourbar_scaled_candidate
cell,row 2,column 9,9,2,0.2235,706.2,104.75,68.4,51.25,#fcd8c3,colourbar_scaled_candidate
cell,row 2,column 10,10,2,0.5255,774.1,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 11,11,2,0.5255,842.0,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 12,12,2,0.5255,909.9,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 13,13,2,0.5255,977.8,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 14,14,2,0.5255,1045.7,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 15,15,2,0.5255,1113.6,104.75,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 2,column 16,16,2,-0.3569,1181.5,104.75,68.4,51.25,#78b0d3,colourbar_scaled_candidate
cell,row 2,column 17,17,2,-0.5373,1249.4,104.75,68.4,51.25,#2367ac,colourbar_scaled_candidate
cell,row 2,column 18,18,2,-0.2902,1317.3,104.75,68.4,51.25,#91bedb,colourbar_scaled_candidate
cell,row 2,column 19,19,2,-0.2039,1385.2,104.75,68.4,51.25,#b1d1e5,colourbar_scaled_candidate
cell,row 2,column 20,20,2,-0.0902,1453.1,104.75,68.4,51.25,#dae9f1,colourbar_scaled_candidate
cell,row 3,column 1,1,3,-0.0431,163.0,155.5,68.4,51.25,#e8eff3,colourbar_scaled_candidate
cell,row 3,column 2,2,3,0.0941,230.9,155.5,68.4,51.25,#f9eae1,colourbar_scaled_candidate
cell,row 3,column 3,3,3,0.4902,298.8,155.5,68.4,51.25,#f29975,colourbar_scaled_candidate
cell,row 3,column 4,4,3,0.5529,366.7,155.5,68.4,51.25,#e87f5b,colourbar_scaled_candidate
cell,row 3,column 5,5,3,0.5373,434.6,155.5,68.4,51.25,#c3413a,colourbar_scaled_candidate
cell,row 3,column 6,6,3,0.5255,502.5,155.5,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 3,column 7,7,3,0.5255,570.4,155.5,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 3,column 8,8,3,0.5255,638.3,155.5,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 3,column 9,9,3,0.5255,706.2,155.5,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 3,column 10,10,3,-0.5412,774.1,155.5,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 3,column 11,11,3,0.1294,842.0,155.5,68.4,51.25,#fae5d9,colourbar_scaled_candidate
cell,row 3,column 12,12,3,0.1059,909.9,155.5,68.4,51.25,#fae8df,colourbar_scaled_candidate
cell,row 3,column 13,13,3,0.1608,977.8,155.5,68.4,51.25,#fbe1d2,colourbar_scaled_candidate
cell,row 3,column 14,14,3,0.2039,1045.7,155.5,68.4,51.25,#fcdbc8,colourbar_scaled_candidate
cell,row 3,column 15,15,3,0.1686,1113.6,155.5,68.4,51.25,#fbe0d0,colourbar_scaled_candidate
cell,row 3,column 16,16,3,-0.2078,1181.5,155.5,68.4,51.25,#afd0e4,colourbar_scaled_candidate
cell,row 3,column 17,17,3,-0.3765,1249.4,155.5,68.4,51.25,#71add1,colourbar_scaled_candidate
cell,row 3,column 18,18,3,-0.2,1317.3,155.5,68.4,51.25,#b3d2e6,colourbar_scaled_candidate
cell,row 3,column 19,19,3,-0.451,1385.2,155.5,68.4,51.25,#4a87bd,colourbar_scaled_candidate
cell,row 3,column 20,20,3,-0.4667,1453.1,155.5,68.4,51.25,#4280b9,colourbar_scaled_candidate
cell,row 4,column 1,1,4,0.5255,163.0,206.25,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 4,column 2,2,4,0.5255,230.9,206.25,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 4,column 3,3,4,0.5255,298.8,206.25,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 4,column 4,4,4,0.5255,366.7,206.25,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 4,column 5,5,4,0.5255,434.6,206.25,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 4,column 6,6,4,0.4627,502.5,206.25,68.4,51.25,#f4a07e,colourbar_scaled_candidate
cell,row 4,column 7,7,4,-0.0941,570.4,206.25,68.4,51.25,#d8e8f0,colourbar_scaled_candidate
cell,row 4,column 8,8,4,-0.051,638.3,206.25,68.4,51.25,#e6eef3,colourbar_scaled_candidate
cell,row 4,column 9,9,4,0.0745,706.2,206.25,68.4,51.25,#f9ede6,colourbar_scaled_candidate
cell,row 4,column 10,10,4,-0.2824,774.1,206.25,68.4,51.25,#93c0db,colourbar_scaled_candidate
cell,row 4,column 11,11,4,-0.5412,842.0,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 12,12,4,-0.5412,909.9,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 13,13,4,-0.5412,977.8,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 14,14,4,-0.5412,1045.7,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 15,15,4,-0.5412,1113.6,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 16,16,4,-0.5412,1181.5,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 17,17,4,-0.5412,1249.4,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 18,18,4,-0.5412,1317.3,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 19,19,4,-0.5412,1385.2,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 4,column 20,20,4,-0.5412,1453.1,206.25,68.4,51.25,#2166ab,colourbar_scaled_candidate
